"Algorithm","Hash","Path"
"SHA256","FF1F769C7F4BC80038B30ACB948953380D01B2CE66A7108BA839C6FAD164663C","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","9E618A2A0F41F5F9EA4905419D00CE63AC4835A6BE2C2BFE2BCDADA3C2377A08","C:\LAB3\Evidence\autoruns_after.csv"
"SHA256","A118A8C2E348925CF5118F0118F2D8231E557C84F2A639A5F620CA48FD5635C8","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","9D0F7B2E20629060F324C5E81EAF7BFD43742A012B6E9E786E3180CBE3CCF8C5","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","F47141B7C0C2D271F73E899C78CBB24EEA28C6A4907D2DD278C89D2F06E47F67","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","EBC500AD962A11C19E62332680CC1B00185B65B7A9388E286E7E71C946F9C4A5","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","955E334944388004BE289E488450DD61223336189DA23F056B34D3A97941E66C","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","9285FA7AD3668262AD723236027682BCF04BAAAB48FD9A316A32145C46274142","C:\LAB3\Evidence\H10_FollowTCPStream.png"
"SHA256","6F1E7FE12B26806630CA3EC3688137ED47E6323E41BDA32E02BB89639B39FDDC","C:\LAB3\Evidence\H10_Load_and_Log_Analysis.png"
"SHA256","B8FB3E69A9656C3E8D88971416B89CBF4DF9C31FD9F27B8A4A5BF9AB3C5AF3BC","C:\LAB3\Evidence\H10_Phishing_Offline.png"
"SHA256","C35D185270ED8A83D69657E2212DD0C389B8348B0C72D29A5CE6E4D9042E9CDC","C:\LAB3\Evidence\H11_Recovery_Verification.png"
"SHA256","3C690FDA79C507CAB184DB5540F5E97BB411012D79B6916FFABDBDE554036C7C","C:\LAB3\Evidence\H5_Event4625.png"
"SHA256","FE014E4FCAD7CF2E822212ED737CA0B38AF45BF113E13E35182547946DABA63D","C:\LAB3\Evidence\H7_Autoruns_Persistence.png"
"SHA256","429105A5588923E74031B28FAA4155D441AB853EC866F5F7090504146C4D2F97","C:\LAB3\Evidence\H8_Sysmon_Event.png"
"SHA256","A3F31028B4BE337E24DCE4DBA964645674DFF550C1F1C4BA4F9086C10D835D00","C:\LAB3\Evidence\H9_Wireshark_HTTP.png"
"SHA256","1829CC2B91FD39A8B846B8252825E1C83FEA3C4575BD23DD3B4EA52169C6D437","C:\LAB3\Evidence\http_traffic.pcapng"
"SHA256","4A6273B550FB547C717C5C4478082D00093C77F70949E7E64A5463F60DDD771B","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","87C7C1AECDD7F059A91600E91A63B92B236D9B73F36CC868351372134973CA2B","C:\LAB3\Evidence\start_time.txt"
